country,city,area,population
France,Paris48°51′N 2°21′E﻿ / ﻿48.850°N 2.350°E﻿ / 48.850; 2.350,N/A,N/A
Brazil,Brasília [a]15°47′S 47°52′W﻿ / ﻿15.783°S 47.867°W﻿ / -15.783; -47.867,N/A,N/A
Japan,Tokyo35°41′N 139°46′E﻿ / ﻿35.683°N 139.767°E﻿ / 35.683; 139.767,N/A,N/A
Germany,Berlin[b]52°31′N 13°23′E﻿ / ﻿52.517°N 13.383°E﻿ / 52.517; 13.383,N/A,N/A
Canada,Ottawa45°24′N 75°40′W﻿ / ﻿45.400°N 75.667°W﻿ / 45.400; -75.667,9984670,N/A
Australia,Canberra35°18′29″S 149°07′28″E﻿ / ﻿35.30806°S 149.12444°E﻿ / -35.30806; 149.12444,N/A,N/A
India,New Delhi28°36′50″N 77°12′30″E﻿ / ﻿28.61389°N 77.20833°E﻿ / 28.61389; 77.20833,Delhi,Mumbai
United States,"Washington, D.C.38°53′N 77°1′W﻿ / ﻿38.883°N 77.017°W﻿ / 38.883; -77.017",3796742,N/A
United Kingdom,London51°30′N 0°7′W﻿ / ﻿51.500°N 0.117°W﻿ / 51.500; -0.117,N/A,N/A
China,Beijing39°55′N 116°23′E﻿ / ﻿39.917°N 116.383°E﻿ / 39.917; 116.383,N/A,Chongqing[1]
